soft_id	soft_name	file_name	url	version	file_size	update_time	os_type
14179	MP3播放器	mp330	http://dlsw.baidu.com/sw-search-sp/soft/77/14179/mp330.exe?version=1185392965	1.0.0.0	1718882	2013/8/22 16:18	30
10903	MotoAce 摩托车越野赛车游戏	motoace_setup	http://dlsw.baidu.com/sw-search-sp/soft/33/10903/motoace_setup.exe?version=3754913102	1.19.23	2131582	2013/8/15 16:06	30
15561	kX Project Audio Driver	kxdrv_5.10.0.3538j-full	http://dl1sw.baidu.com/soft/dc/15561/kxdrv_5.10.0.3538j-full_.exe?version=1311579839	5.10.0.3538j	5775546	2013/7/15 16:59	30
14191	Free PDF	frpdf098f.exe	http://dl1sw.baidu.com/packages/163110.exe	0.98f	1153433	2003/7/11 0:00	30
13493	Flash Catcher	FlashCatcher.zip	http://dl1sw.baidu.com/packages/163113.exe	2.7	1258291	2007/8/3 0:00	30
10113	DNS查询器	dnsq.exe	http://dl1sw.baidu.com/packages/163133.exe	2005	104857	2013/7/26 15:24	30
14958	Cakewalk Sonar	S401a_English_Demo.exe	http://dl1sw.baidu.com/packages/163147.exe	4.0.41	33449574	2006/6/6 0:00	30
12578	Cad2Cad DTP Express 	dtpexpp_4_0	http://dlsw.baidu.com/sw-search-sp/soft/d7/12578/dtpexpp_4_0.exe?version=832608723	1.0.0.1	8912915	2013/8/8 16:48	30
13753	EasyMeeting 通用版	EasyMeeting_General	http://dlsw.baidu.com/sw-search-sp/soft/b0/13753/EasyMeeting_General.exe?version=130814334	1.3.5.0	236093380	2013/8/15 11:18	50
10050	影色高清播放器	yingse_2.2.0.0	http://dl1sw.baidu.com/soft/b2/10050/yingse_2.2.0.0.exe?version=227532984	2.2.0.0	1201416	2013/7/9 17:34	22
16094	SeewoService	SeewoService1.5.3.exe	http://dl1sw.baidu.com/packages/180428.exe	1.5.3.0	1887436	2012/11/1 0:00	30
12628	EasiService	EasiService1.47.exe	http://dl1sw.baidu.com/packages/180429.exe	1.4.5.0	1048576	2012/11/1 0:00	30
14399	Toolwiz Care	toolwiz_SystemCare_2.1.0.5000	http://dl1sw.baidu.com/soft/21/14399/toolwiz_SystemCare_2.1.0.5000.exe?version=1943015412	2.1.0.5000	7701248	2013/6/7 11:16	62
13124	AppRemover	AppRemover_2.2.31.1	http://dl1sw.baidu.com/soft/35/13124/AppRemover_2.2.31.1.exe.exe?version=2548379541	2.2.31.1	11044768	2013/7/22 16:07	63
13846	4Fang财务软件 安装版	4FFF_2013.5.0.7	http://dlsw.baidu.com/sw-search-sp/soft/25/13846/4FFF_2013.5.0.7.exe?version=4060796035	2013.5.0.7	20523888	2013/7/29 18:45	26
13647	英雄联盟大脚	BigFoot-LOL_2.105	http://dlsw.baidu.com/sw-search-sp/soft/b0/13647/BigFoot-LOL_2.105.exe?version=4050827649	2.105	6012896	2013/8/22 16:35	30
11146	星际大脚	BigFoot_1.0.69.0	http://dlsw.baidu.com/sw-search-sp/soft/42/11146/BigFoot_1.0.69.0.msi?version=443029601	1.0.69.0	29561856	2013/8/14 10:41	30
14859	剑三大脚	BigFoot_1.0.1.8	http://dlsw.baidu.com/sw-search-sp/soft/64/14859/BigFoot_1.0.1.8.exe?version=1237207872	1.0.1.8	1997312	2013/8/9 17:26	30
12799	财智7	mh7_7.00	http://dlsw.baidu.com/sw-search-sp/soft/65/12799/mh7_7.00.exe?version=2280944305	7	28462131	2013/7/30 15:55	30
16175	往链点点通	往链点点通2012V1.5.exe	http://dl1sw.baidu.com/packages/18626.exe	v1.5	22649241	2013/7/2 11:09	30
17095	双色球公式版	LottoFormula.exe	http://dl1sw.baidu.com/packages/18627.exe	v2.6 SP5	28835840	2013/7/26 11:41	30
11380	爱彩通11选5	act_2.0.9.6	http://dlsw.baidu.com/sw-search-sp/soft/0f/11380/act_2.0.9.6.exe?version=2449288546	2.0.9.6	1361872	2013/7/29 19:14	31
11706	搜了通	51Sole_1.0.0.0	http://dlsw.baidu.com/sw-search-sp/soft/b1/11706/51Sole_1.0.0.0.exe?version=1185392965	1.0.0.0	12283268	2013/8/21 14:36	30
11324	百度快捷	BaiduKuaijie_1.0.0.1017	http://dlsw.baidu.com/sw-search-sp/soft/d1/11324/BaiduKuaijie_1.0.0.1017.exe?version=1548781532	1.0.0.1017	1377568	2013/8/20 18:50	58
16574	迷你云	miniyun	http://dlsw.baidu.com/sw-search-sp/soft/48/16574/miniyun.exe?version=4221218100	1.1.6	11388606	2013/8/21 11:34	22
17056	顶易中国客户开发与跟踪系统 中文版	TECustManage_CN	http://dlsw.baidu.com/sw-search-sp/soft/83/17056/TECustManage_CN.exe?version=243164977	5.5.2	9999535	2013/8/15 11:15	30
10489	中英文录入高手速成	myfiles_ECLTSetup.exe	http://dl1sw.baidu.com/packages/163223.exe	1.517	1363148	2013/7/26 15:18	30
12535	中考冲刺考典	myfiles_NSKY307174.exe	http://dl1sw.baidu.com/packages/163230.exe	2005	15309209	2007/5/29 0:00	30
16300	智升电脑屏幕抓图专家	myfiles_zhisheng.exe	http://dl1sw.baidu.com/packages/163236.exe	3.99.899	6186598	2013/7/26 15:17	30
14475	智佳起名向导	qmxd2_zj	http://dlsw.baidu.com/sw-search-sp/soft/c2/14475/qmxd2_zj.exe?version=345999074	4.0.0.0	3987887	2013/8/15 16:03	30
16083	制表飞侠(FlyReport)	flyreport	http://dlsw.baidu.com/sw-search-sp/soft/d2/16083/flyreport.exe?version=4102518101	1.7.0.0	18398613	2013/8/16 16:47	30
15863	证件大师	LESetupPro2005	http://dlsw.baidu.com/sw-search-sp/soft/2f/15863/LESetupPro2005.exe?version=832608723	1.0.0.1	8041984	2013/8/14 10:07	30
14206	友好日记本	kinddiary_cn_15087	http://dlsw.baidu.com/sw-search-sp/soft/56/14206/kinddiary_cn_15087.exe?version=908332003	2.3.5.0	2012775	2013/8/16 16:46	30
14388	英语家教软件	yyjj_2.0.3944.16662	http://dl1sw.baidu.com/soft/b1/14388/yyjj_2.0.3944.16662.exe?version=1529853152	2.0.3944.16662	3159040	2013/6/8 17:30	62
